Component,Component,Test Case,TC Identifier,Test Type,Estimated Duration (min),Priority,Pass/Fail,LPS Ticket,Tester,Date,Test Name,Test Steps
Bundle Blacklist,,Export component blacklist config file into OSGi configs folder,2g,Manual,,3,,,,,,"1. Execute 2a 
2. Export: com.liferay.portal.component.blacklist.internal.ComponentBlacklistConfiguration.config
3. Assert configuration file is exported
4. Copy into [liferay_home]/osgi/configs: com.liferay.portal.component.blacklist.internal.ComponentBlacklistConfiguration.config
5. Verify the component is still blacklisted in the console (uninstalled)
6. Assert component is STOPPED in the console

See 1a for https://issues.liferay.com/browse/LPP-31038 "
Clustering,Clustering,,,,,,,,,,,
Clustering,,Test Group 1 - Cluster Link,,,,,,,,,,
Clustering,,Portal Properties(cluster.link.enabled),1a,Functional,-,5,,,,,ClusteringLink#ClusteringLinkPortalProperties,"1. Set “cluster.link.enabled=false”
2. Start portal and wait for it is fully started
3. Assert console, NO logging like:
-------------------------------------------------------------------
GMS: address=liferay-Precision-5520-42240, cluster=liferay-channel-control, physical address=172.16.20.96:42740
-------------------------------------------------------------------
4. Set “cluster.link.enabled=true”
5. Start portal and wait for it is fully started
6. Assert console, there is logging like:
-------------------------------------------------------------------
GMS: address=liferay-Precision-5520-42240, cluster=liferay-channel-control, physical address=172.16.20.96:42740
-------------------------------------------------------------------
-------------------------------------------------------------------
GMS: address=liferay-Precision-5520-9493, cluster=liferay-channel-transport-0, physical address=172.16.20.96:50413
-------------------------------------------------------------------"
Clustering,,Portal Properties(cluster.link.channel.name),1b,Functional,-,4,,,,,ClusteringLink#ClusteringLinkPortalProperties,"1. Set “cluster.link.enabled=true”
2. Set “cluster.link.channel.name.control=test-control-channel”
3. Set “cluster.link.channel.name.transport.0=test-transport-channel”
4. Start portal and wait for it is fully started
5. Assert console, cluster name is changed to what we have set
-------------------------------------------------------------------
GMS: address=liferay-Precision-5520-42240, cluster=test-control-channel, physical address=172.16.20.96:42740
-------------------------------------------------------------------
-------------------------------------------------------------------
GMS: address=liferay-Precision-5520-9493, cluster=test-transport-channel, physical address=172.16.20.96:50413
-------------------------------------------------------------------"
Clustering,,Portal Properties(cluster.link.channel.properties),1c,Functional,-,4,,,,,ClusteringLink#ClusteringLinkPortalProperties,"1. Set “cluster.link.enabled=true”
2. Set “cluster.link.channel.properties.control=tcp.xml”
3. Set “cluster.link.channel.properties.transport.0=tcp.xml”
4. Start portal and wait for it is fully started
5. Assert console, TCP is the protocol using, search the following code, there should be two matches, one for control channel, one for transport channel
        Create a new JGroups channel with properties TCP("
Clustering,,Portal Properties(cluster.link.autodetect.address),1d,Functional,-,4,,,,,ClusteringLink#ClusteringLinkPortalProperties,"1. Set “cluster.link.enabled=true”
2. Set “cluster.link.autodetect.address=www.google.com:80”[a]
3. Start portal and wait for it is fully started
4. Assert console, the physical address used by control channel and transport channel are same, and this is an outgoing address which has access to www.google.com.
-------------------------------------------------------------------
GMS: address=liferay-Precision-5520-42240, cluster=liferay-channel-control, physical address=172.16.20.96:42740
-------------------------------------------------------------------
-------------------------------------------------------------------
GMS: address=liferay-Precision-5520-9493, cluster=liferay-channel-transport-0, physical address=172.16.20.96:50413
-------------------------------------------------------------------
5. Shutdown portal
6. Set “cluster.link.autodetect.address=localhost”
7. Restart portal and wait for it is fully started
8. Assert console, the physical address used by control channel and transport channel are same, and it is an local loopback address
-------------------------------------------------------------------
GMS: address=liferay-Precision-5520-42240, cluster=liferay-channel-control, physical address=127.0.0.1:7800
-------------------------------------------------------------------
-------------------------------------------------------------------
GMS: address=liferay-Precision-5520-9493, cluster=liferay-channel-transport-0, physical address=127.0.0.1:7801
-------------------------------------------------------------------s
9. Shutdown portal
10. Set “cluster.link.autodetect.address=”
11. Set “cluster.link.bind.addr[""cluster-link-control""]=172.16.23.242” (Note: the IP address is of another network card in the same machine; on my laptop, this is my IP address of wireless network card[b])
12. Set ”cluster.link.bind.addr[""cluster-link-udp""]=172.16.23.242”
13. Start portal
14. Assert console, the physical address used by control channel and transport channel are same, and it is the address configured
-------------------------------------------------------------------
GMS: address=liferay-Precision-5520-42240, cluster=liferay-channel-control, physical address=172.16.23.242:54652
-------------------------------------------------------------------
-------------------------------------------------------------------
GMS: address=liferay-Precision-5520-9493, cluster=liferay-channel-transport-0, physical address=172.16.23.242:54713
-------------------------------------------------------------------"
Clustering,,Topology Structure 1,1e,Manual,30,3,,,,,,"1. Configure two nodes as a cluster
1. Enable cluster on both nodes by setting: cluster.link.enabled=true
2. Configure two nodes to use same database (HSQL is not allowed in cluster environment)
2. Start node1 and wait for it is fully started
3. On node1, assert console and find control channel’s address : liferay-Precision-5520-37063
-------------------------------------------------------------------
GMS: address=liferay-Precision-5520-37063, cluster=liferay-channel-control, physical address=172.16.20.96:37714
-------------------------------------------------------------------
4. Start node2 and wait for it is fully started
5. On node2, assert console and find control channel’s address: liferay-Precision-5520-30711
-------------------------------------------------------------------
GMS: address=liferay-Precision-5520-30711, cluster=liferay-channel-control, physical address=172.16.20.96:44936
-------------------------------------------------------------------
6. On node1, assert console
Accepted view [liferay-Precision-5520-37063|1] (2) [liferay-Precision-5520-37063,
liferay-Precision-5520-30711]
7. On node2, assert console
Accepted view [liferay-Precision-5520-37063|1] (2) [liferay-Precision-5520-37063,
liferay-Precision-5520-30711]
8. On node1, go to Control Panel->Configuration->Server Administration->Script, run Groovy Scripts/groovy-script-master-slave
9. On node1, assert result
This node is master node
10. On node2, go to Control Panel->Configuration->Server Administration->Script, run Groovy Scripts/groovy-script-master-slave
11. On node2, assert result
This node is slave node
12. Shutdown node1
13. On node2, assert console, node1 left
Accepted view [liferay-Precision-5520-30711|2] (1) [liferay-Precision-5520-30711]
14. On node2, go to Control Panel->Configuration->Server Administration->Script, run Groovy Scripts/groovy-script-master-slave
15. On node2, assert result
This node is master node
16. Restart node1 and wait for it is fully started
17. On node1, go to Control Panel->Configuration->Server Administration->Script, run Groovy Scripts/groovy-script-master-slave[c]
18. On node1, assert result
This node is slave node"
Clustering,,Topology Structure 2,1f,Manual,30,3,,,,,,"1. Configure two nodes as a cluster
1. Enable cluster on both nodes by setting: cluster.link.enabled=true
2. Configure two nodes to use same database (HSQL is not allowed in cluster environment)
2. Start node1 and wait for it is fully started
3. On node1, assert console and find control channel’s address : liferay-Precision-5520-37063
-------------------------------------------------------------------
GMS: address=liferay-Precision-5520-37063, cluster=liferay-channel-control, physical address=172.16.20.96:37714
-------------------------------------------------------------------
4. Start node2 and wait for it is fully started
5. On node2, assert console and find control channel’s address: liferay-Precision-5520-30711
-------------------------------------------------------------------
GMS: address=liferay-Precision-5520-30711, cluster=liferay-channel-control, physical address=172.16.20.96:44936
-------------------------------------------------------------------
6. On node1, assert console
Accepted view [liferay-Precision-5520-37063|1] (2) [liferay-Precision-5520-37063,
liferay-Precision-5520-30711]
7. On node2, assert console
Accepted view [liferay-Precision-5520-37063|1] (2) [liferay-Precision-5520-37063,
liferay-Precision-5520-30711]
8. On node1, go to Control Panel->Configuration->Server Administration->Script, run Groovy Scripts/groovy-script-master-slave
9. On node1, assert result
This node is master node
10. On node2, go to Control Panel->Configuration->Server Administration->Script, run Groovy Scripts/groovy-script-master-slave
11. On node2, assert result
This node is slave node
12. On node1, cut off network connection
13. On node2, assert console, node1 left
Accepted view [liferay-Precision-5520-30711|2] (1) [liferay-Precision-5520-30711]
14. On node2, go to Control Panel->Configuration->Server Administration->Script, run Groovy Scripts/groovy-script-master-slave
15. On node2, assert result
This node is master node
16. On node1, reconnect network
17. On node1, assert console and find the master node address is liferay-Precision-5520-30711 which is node2.
Accepted view MergeView::[liferay-Precision-5520-30711|3] (2) [liferay-Precision-5520-30711, liferay-Precision-5520-37063], 2 subgroups: [liferay-Precision-5520-30711|2] (1) [liferay-Precision-5520-30711], [liferay-Precision-5520-37063|2] (1) [liferay-Precision-5520-37063]
18. On node2, assert console
Accepted view MergeView::[liferay-Precision-5520-30711|3] (2) [liferay-Precision-5520-30711, liferay-Precision-5520-37063], 2 subgroups: [liferay-Precision-5520-30711|2] (1) [liferay-Precision-5520-30711], [liferay-Precision-5520-37063|2] (1) [liferay-Precision-5520-37063]
19. On master node, go to Control Panel->Configuration->Server Administration->Script, Groovy Scripts/groovy-script-master-slave
20. On master node, assert result
This node is master node
21. On another node, go to Control Panel->Configuration->Server Administration->Script, Groovy Scripts/groovy-script-master-slave
22. On another node, assert result
This node is slave node"
Clustering,,Invoke Methods 1 (Invoke methods in portal kernel),1g,Manual,35,3,,,,,,"1. Configure two nodes as a cluster
1. Enable cluster on both nodes by setting: cluster.link.enabled=true
2. Configure two nodes to use same database (HSQL is not allowed in cluster environment)
3. Disable automatic browser launching by setting: browser.launcher.url=
2. Start node1 and wait for it is fully started
3. On node1, assert console and find control channel’s address : liferay-Precision-5520-37063
-------------------------------------------------------------------
GMS: address=liferay-Precision-5520-37063, cluster=liferay-channel-control, physical address=172.16.20.96:37714
-------------------------------------------------------------------
4. Start node2 and wait for it is fully started
5. On node2, assert console and find control channel’s address: liferay-Precision-5520-30711
-------------------------------------------------------------------
GMS: address=liferay-Precision-5520-30711, cluster=liferay-channel-control, physical address=172.16.20.96:44936
-------------------------------------------------------------------
6. On node1, assert console
Accepted view [liferay-Precision-5520-37063|1] (2) [liferay-Precision-5520-37063,
liferay-Precision-5520-30711]
7. On node2, assert console
Accepted view [liferay-Precision-5520-37063|1] (2) [liferay-Precision-5520-37063,
liferay-Precision-5520-30711]
8. On node1, visit home page
9. On node2, assert console and find port of node1 is updated to 8080
Updated cluster node {bindInetAddress=/172.16.20.96, clusterNodeId=1c9a3276-5c88-1130-55df-3539a13f2ca3, portalInetSocketAddress=/127.0.0.1:8080, portalProtocol=http}
10. On node2, visit home page
11. On node1, assert console and find port of node2 is updated to 8081
Updated cluster node {bindInetAddress=/172.16.20.96, clusterNodeId=0cb6a181-14b4-322b-d4c6-f15b08437cd5, portalInetSocketAddress=/127.0.0.1:8081, portalProtocol=http}
12. On node1, go to Control Panel->Configuration->Server Administration->Script, run Groovy Scripts/groovy-script-invoke-method
13. On node1, assert result 
Result of invoke-method-portal is :8081
14. On node2, go to Control Panel->Configuration->Server Administration->Script, run Groovy Scripts/groovy-script-invoke-method
15. On node2, assert result
Result of invoke-method-portal is :8080
16. On both nodes, deploy and start module: com.liferay.cluster.test.module.jar
17. On node1, add empty file named “com.liferay.cluster.test.module.configuration.ClusterTestConfiguration.cfg” to “liferay-bundle/osgi/configs”
18. On node1, add the following to “com.liferay.cluster.test.module.configuration.ClusterTestConfiguration.cfg”:
        clusterTestCommand=invoke-method-portal
19. On node1, assert console
        Result of invoke-method-portal is :8081
20. On node2, assert console
        Result of invoke-method-portal is :8080"
Clustering,,Invoke Methods 2 (Invoke methods in modules),1h,Manual,35,3,,,,,,"1. Configure two nodes as a cluster
1. Enable cluster on both nodes by setting: cluster.link.enabled=true
2. Configure two nodes to use same database (HSQL is not allowed in cluster environment)
3. Disable automatic browser launching by setting: browser.launcher.url=
2. Start node1 and wait for it is fully started
3. On node1, assert console and find control channel’s address : liferay-Precision-5520-37063
-------------------------------------------------------------------
GMS: address=liferay-Precision-5520-37063, cluster=liferay-channel-control, physical address=172.16.20.96:37714
-------------------------------------------------------------------
4. Start node2 and wait for it is fully started
5. On node2, assert console and find control channel’s address: liferay-Precision-5520-30711
-------------------------------------------------------------------
GMS: address=liferay-Precision-5520-30711, cluster=liferay-channel-control, physical address=172.16.20.96:44936
-------------------------------------------------------------------
6. On node1, assert console
Accepted view [liferay-Precision-5520-37063|1] (2) [liferay-Precision-5520-37063,
liferay-Precision-5520-30711]
7. On node2, assert console
Accepted view [liferay-Precision-5520-37063|1] (2) [liferay-Precision-5520-37063,
liferay-Precision-5520-30711]
8. On node1, visit home page
9. On node2, assert console and find port of node1 is updated to 8080
Updated cluster node {bindInetAddress=/172.16.20.96, clusterNodeId=1c9a3276-5c88-1130-55df-3539a13f2ca3, portalInetSocketAddress=/127.0.0.1:8080, portalProtocol=http}
10. On node2, visit home page
11. On node1, assert console and find port of node2 is updated to 8081
Updated cluster node {bindInetAddress=/172.16.20.96, clusterNodeId=0cb6a181-14b4-322b-d4c6-f15b08437cd5, portalInetSocketAddress=/127.0.0.1:8081, portalProtocol=http}
12. On both nodes, deploy and start module: com.liferay.cluster.test.module.jar
13. On node1, add empty file named “com.liferay.cluster.test.module.configuration.ClusterTestConfiguration.cfg” to “liferay-bundle/osgi/configs”
14. Add the following to “com.liferay.cluster.test.module.configuration.ClusterTestConfiguration.cfg”:
        clusterTestCommand=invoke-method-module
15. On node1, assert console
Result of invoke-method-module is :8081
16. On node2, assert console
        Result of invoke-method-module is :8080

"
Clustering,,Invoke Methods 3 (Invoke methods of portal kernel on master),1i,Manual,35,3,,,,,,"1. Configure two nodes as a cluster
1. Enable cluster on both nodes by setting: cluster.link.enabled=true
2. Configure two nodes to use same database (HSQL is not allowed in cluster environment)
3. Disable automatic browser launching by setting: browser.launcher.url=
2. Start node1 and wait for it is fully started
3. On node1, assert console and find control channel’s address : liferay-Precision-5520-37063
-------------------------------------------------------------------
GMS: address=liferay-Precision-5520-37063, cluster=liferay-channel-control, physical address=172.16.20.96:37714
-------------------------------------------------------------------
4. Start node2 and wait for it is fully started
5. On node2, assert console and find control channel’s address: liferay-Precision-5520-30711
-------------------------------------------------------------------
GMS: address=liferay-Precision-5520-30711, cluster=liferay-channel-control, physical address=172.16.20.96:44936
-------------------------------------------------------------------
6. On node1, assert console
Accepted view [liferay-Precision-5520-37063|1] (2) [liferay-Precision-5520-37063,
liferay-Precision-5520-30711]
7. On node2, assert console
Accepted view [liferay-Precision-5520-37063|1] (2) [liferay-Precision-5520-37063,
liferay-Precision-5520-30711]
8. On node1, visit home page
9. On node2, assert console and find port of node1 is updated to 8080
Updated cluster node {bindInetAddress=/172.16.20.96, clusterNodeId=1c9a3276-5c88-1130-55df-3539a13f2ca3, portalInetSocketAddress=/127.0.0.1:8080, portalProtocol=http}
10. On node2, visit home page
11. On node1, assert console and find port of node2 is updated to 8081
Updated cluster node {bindInetAddress=/172.16.20.96, clusterNodeId=0cb6a181-14b4-322b-d4c6-f15b08437cd5, portalInetSocketAddress=/127.0.0.1:8081, portalProtocol=http}
12. On node1, go to Control Panel->Configuration->Server Administration->Script, run Groovy Scripts/groovy-script-invoke-method-on-master
13. On node1, assert result 
Result of invoke-method-portal-on-master is :8080
14. On node2, go to Control Panel->Configuration->Server Administration->Script, run Groovy Scripts/groovy-script-invoke-method-on-master
15. On node2, assert result
Result of invoke-method-portal-on-master is :8080
16. On both nodes, deploy and start module: com.liferay.cluster.test.module.jar
17. On node1, add empty file named “com.liferay.cluster.test.module.configuration.ClusterTestConfiguration.cfg” to “liferay-bundle/osgi/configs”
18. On node1, add the following to “com.liferay.cluster.test.module.configuration.ClusterTestConfiguration.cfg”:
        clusterTestCommand=invoke-method-portal-on-master
19. On node1, assert console
        Result of invoke-method-portal-on-master is :8080
20. On node2, assert console
        Result of invoke-method-portal-on-master is :8080"
Clustering,,Invoke Methods 4 (Invoke methods of modules on master),1j,Manual,30,3,,,,,,"1. Configure two nodes as a cluster
1. Enable cluster on both nodes by setting: cluster.link.enabled=true
2. Configure two nodes to use same database (HSQL is not allowed in cluster environment)
3. Disable automatic browser launching by setting: browser.launcher.url=
2. Start node1 and wait for it is fully started
3. On node1, assert console and find control channel’s address : liferay-Precision-5520-37063
-------------------------------------------------------------------
GMS: address=liferay-Precision-5520-37063, cluster=liferay-channel-control, physical address=172.16.20.96:37714
-------------------------------------------------------------------
4. Start node2 and wait for it is fully started
5. On node2, assert console and find control channel’s address: liferay-Precision-5520-30711
-------------------------------------------------------------------
GMS: address=liferay-Precision-5520-30711, cluster=liferay-channel-control, physical address=172.16.20.96:44936
-------------------------------------------------------------------
6. On node1, assert console
Accepted view [liferay-Precision-5520-37063|1] (2) [liferay-Precision-5520-37063,
liferay-Precision-5520-30711]
7. On node2, assert console
Accepted view [liferay-Precision-5520-37063|1] (2) [liferay-Precision-5520-37063,
liferay-Precision-5520-30711]
8. On node1, visit home page
9. On node2, assert console and find port of node1 is updated to 8080
Updated cluster node {bindInetAddress=/172.16.20.96, clusterNodeId=1c9a3276-5c88-1130-55df-3539a13f2ca3, portalInetSocketAddress=/127.0.0.1:8080, portalProtocol=http}
10. On node2, visit home page
11. On node1, assert console and find port of node2 is updated to 8081
Updated cluster node {bindInetAddress=/172.16.20.96, clusterNodeId=0cb6a181-14b4-322b-d4c6-f15b08437cd5, portalInetSocketAddress=/127.0.0.1:8081, portalProtocol=http}
12. On both nodes, deploy and start module: com.liferay.cluster.test.module.jar
13. On node1, add empty file named “com.liferay.cluster.test.module.configuration.ClusterTestConfiguration.cfg” to “liferay-bundle/osgi/configs”
14. On node1, add the following to “com.liferay.cluster.test.module.configuration.ClusterTestConfiguration.cfg”:
        clusterTestCommand=invoke-method-module-on-master
15. On node1, assert console
Result of invoke-method-module-on-master is :8080
16. On node2, assert console
        Result of invoke-method-module-on-master is :8080"
Clustering,,Test Group 2 - Cluster + Cache Replication,,,,,,,,,,
Clustering,,Replicate by copy,2a,Manual,35,3,,,,,https://issues.liferay.com/browse/LRQA-42939,"1. Configure two nodes as a cluster
1. Enable cluster on both nodes by setting: cluster.link.enabled=true
2. Configure two nodes to use same database (HSQL is not allowed in cluster environment)
3. Configure “test.cache” to use replicate by copy by setting:
                ehcache.replicator.properties.test.cache=replicatePutsViaCopy=true
4. Enable debugging for “test.cache” by copying file log4j/com.liferay.portal.cache.ehcache.impl-log4j-ext.xml to liferay-bundle/osgi/log4j
2. Start node1 and wait for it is fully started
3. On node1, assert console and find control channel’s address : liferay-Precision-5520-37063
-------------------------------------------------------------------
GMS: address=liferay-Precision-5520-37063, cluster=liferay-channel-control, physical address=172.16.20.96:37714
-------------------------------------------------------------------
4. Start node2 and wait for it is fully started
5. On node2, assert console and find control channel’s address: liferay-Precision-5520-30711
-------------------------------------------------------------------
GMS: address=liferay-Precision-5520-30711, cluster=liferay-channel-control, physical address=172.16.20.96:44936
-------------------------------------------------------------------
6. On node1, assert console
Accepted view [liferay-Precision-5520-37063|1] (2) [liferay-Precision-5520-37063,
liferay-Precision-5520-30711]
7. On node2, assert console
Accepted view [liferay-Precision-5520-37063|1] (2) [liferay-Precision-5520-37063,
liferay-Precision-5520-30711]
8. On node1, go to Control Panel->Configuration->Server Administration->Script, run Groovy Scripts/groovy-script-portal-cache-get
9. On node1, assert result
        test.cache is empty
10. On node2, go to Control Panel->Configuration->Server Administration->Script, run Groovy Scripts/groovy-script-portal-cache-get
11. On node2, assert result
        test.cache is empty
12. On node1, go to Control Panel->Configuration->Server Administration->Script, run Groovy Scripts/groovy-script-portal-cache-put
13. On node1, assert console
        Put test.key into test.cache
14. On node1, go to Control Panel->Configuration->Server Administration->Script, run Groovy Scripts/groovy-script-portal-cache-get
15. On node1, assert result
        test.key=test.value
16. On node2, assert console
        Put test.key into test.cache
17. On node2, go to Control Panel->Configuration->Server Administration->Script, run Groovy Scripts/groovy-script-portal-cache-get
18. On node2, assert result
        test.key=test.value
19. On node1, go to Control Panel->Configuration->Server Administration->Script, run Groovy Scripts/groovy-script-portal-cache-remove
20. On node1, assert console
Removed test.key from test.cache
21. On node1, go to Control Panel->Configuration->Server Administration->Script, run Groovy Scripts/groovy-script-portal-cache-get
22. On node1, assert result
        test.cache is empty
23. On node2, assert console
Removed test.key from test.cache
24. On node2, go to Control Panel->Configuration->Server Administration->Script, run Groovy Scripts/groovy-script-portal-cache-get
25. On node2, assert result
        test.cache is empty"
